date,dau
2023-01-04,1
2023-01-06,1
2023-01-08,1
2023-01-11,4
2023-01-13,1
2023-01-14,3
2023-01-15,1
2023-01-16,4
2023-01-17,1
2023-01-18,2
2023-01-19,5
2023-01-20,3
2023-01-21,4
2023-01-22,6
2023-01-23,2
2023-01-24,9
2023-01-25,1
2023-01-26,7
2023-01-27,5
2023-01-28,5
2023-01-29,2
2023-01-30,5
2023-01-31,8
2023-02-01,4
2023-02-02,3
2023-02-03,9
2023-02-04,8
2023-02-05,8
2023-02-06,8
2023-02-07,10
2023-02-08,6
2023-02-09,5
2023-02-10,8
2023-02-11,8
2023-02-12,14
2023-02-13,6
2023-02-14,13
2023-02-15,12
2023-02-16,11
2023-02-17,7
2023-02-18,4
2023-02-19,9
2023-02-20,5
2023-02-21,4
2023-02-22,5
2023-02-23,11
2023-02-24,8
2023-02-25,7
2023-02-26,8
2023-02-27,11
2023-02-28,13
2023-03-01,8
2023-03-02,11
2023-03-03,9
2023-03-04,9
2023-03-05,17
2023-03-06,7
2023-03-07,13
2023-03-08,12
2023-03-09,9
2023-03-10,14
2023-03-11,14
2023-03-12,9
2023-03-13,16
2023-03-14,9
2023-03-15,13
2023-03-16,17
2023-03-17,11
2023-03-18,18
2023-03-19,15
2023-03-20,16
2023-03-21,13
2023-03-22,11
2023-03-23,16
2023-03-24,22
2023-03-25,12
2023-03-26,20
2023-03-27,13
2023-03-28,16
2023-03-29,23
2023-03-30,21
2023-03-31,18
2023-04-01,15
2023-04-02,14
2023-04-03,14
2023-04-04,19
2023-04-05,15
2023-04-06,18
2023-04-07,15
2023-04-08,14
2023-04-09,14
2023-04-10,22
2023-04-11,17
2023-04-12,25
2023-04-13,23
2023-04-14,19
2023-04-15,14
2023-04-16,22
2023-04-17,12
2023-04-18,22
2023-04-19,25
2023-04-20,25
2023-04-21,25
2023-04-22,18
2023-04-23,15
2023-04-24,15
2023-04-25,17
2023-04-26,22
2023-04-27,21
2023-04-28,22
2023-04-29,14
2023-04-30,21
2023-05-01,14
2023-05-02,19
2023-05-03,19
2023-05-04,25
2023-05-05,23
2023-05-06,22
2023-05-07,21
2023-05-08,33
2023-05-09,23
2023-05-10,23
2023-05-11,20
2023-05-12,27
2023-05-13,28
2023-05-14,32
2023-05-15,28
2023-05-16,19
2023-05-17,27
2023-05-18,28
2023-05-19,27
2023-05-20,33
2023-05-21,27
2023-05-22,30
2023-05-23,27
2023-05-24,33
2023-05-25,33
2023-05-26,18
2023-05-27,26
2023-05-28,27
2023-05-29,32
2023-05-30,32
2023-05-31,31
2023-06-01,32
2023-06-02,32
2023-06-03,32
2023-06-04,30
2023-06-05,35
2023-06-06,30
2023-06-07,32
2023-06-08,44
2023-06-09,36
2023-06-10,27
2023-06-11,47
2023-06-12,38
2023-06-13,30
2023-06-14,40
2023-06-15,29
2023-06-16,33
2023-06-17,40
2023-06-18,39
2023-06-19,40
2023-06-20,40
2023-06-21,37
2023-06-22,33
2023-06-23,37
2023-06-24,39
2023-06-25,39
2023-06-26,34
2023-06-27,32
2023-06-28,40
2023-06-29,50
2023-06-30,36
2023-07-01,36
2023-07-02,31
2023-07-03,34
2023-07-04,55
2023-07-05,44
2023-07-06,52
2023-07-07,46
2023-07-08,51
2023-07-09,35
2023-07-10,39
2023-07-11,41
2023-07-12,35
2023-07-13,44
2023-07-14,48
2023-07-15,40
2023-07-16,36
2023-07-17,47
2023-07-18,48
2023-07-19,61
2023-07-20,52
2023-07-21,50
2023-07-22,43
2023-07-23,48
2023-07-24,65
2023-07-25,62
2023-07-26,55
2023-07-27,55
2023-07-28,47
2023-07-29,50
2023-07-30,51
2023-07-31,47
2023-08-01,41
2023-08-02,53
2023-08-03,37
2023-08-04,43
2023-08-05,58
2023-08-06,59
2023-08-07,61
2023-08-08,56
2023-08-09,57
2023-08-10,53
2023-08-11,54
2023-08-12,63
2023-08-13,55
2023-08-14,64
2023-08-15,35
2023-08-16,55
2023-08-17,64
2023-08-18,51
2023-08-19,64
2023-08-20,66
2023-08-21,57
2023-08-22,64
2023-08-23,67
2023-08-24,58
2023-08-25,58
2023-08-26,58
2023-08-27,59
2023-08-28,67
2023-08-29,63
2023-08-30,69
2023-08-31,67
2023-09-01,69
2023-09-02,51
2023-09-03,67
2023-09-04,61
2023-09-05,63
2023-09-06,81
2023-09-07,60
2023-09-08,64
2023-09-09,63
2023-09-10,59
2023-09-11,80
2023-09-12,73
2023-09-13,81
2023-09-14,63
2023-09-15,81
2023-09-16,67
2023-09-17,79
2023-09-18,84
2023-09-19,82
2023-09-20,81
2023-09-21,88
2023-09-22,98
2023-09-23,89
2023-09-24,88
2023-09-25,77
2023-09-26,81
2023-09-27,81
2023-09-28,96
2023-09-29,79
2023-09-30,71
2023-10-01,86
2023-10-02,99
2023-10-03,97
2023-10-04,90
2023-10-05,78
2023-10-06,86
2023-10-07,95
2023-10-08,77
2023-10-09,94
2023-10-10,73
2023-10-11,98
2023-10-12,88
2023-10-13,90
2023-10-14,83
2023-10-15,74
2023-10-16,87
2023-10-17,95
2023-10-18,108
2023-10-19,95
2023-10-20,109
2023-10-21,85
2023-10-22,124
2023-10-23,97
2023-10-24,119
2023-10-25,103
2023-10-26,85
2023-10-27,111
2023-10-28,106
2023-10-29,92
2023-10-30,95
2023-10-31,114
2023-11-01,102
2023-11-02,116
2023-11-03,106
2023-11-04,97
2023-11-05,110
2023-11-06,98
2023-11-07,104
2023-11-08,112
2023-11-09,117
2023-11-10,118
2023-11-11,98
2023-11-12,112
2023-11-13,112
2023-11-14,125
2023-11-15,117
