cohort_month,month_number,active_users
2023-01,0,44
2023-01,1,62
2023-01,2,57
2023-01,3,61
2023-01,4,64
2023-01,5,64
2023-01,6,61
2023-01,7,62
2023-01,8,60
2023-01,9,62
2023-01,10,64
2023-01,11,57
2023-02,0,38
2023-02,1,62
2023-02,2,62
2023-02,3,59
2023-02,4,64
2023-02,5,57
2023-02,6,63
2023-02,7,64
2023-02,8,57
2023-02,9,59
2023-02,10,65
2023-03,0,50
2023-03,1,69
2023-03,2,65
2023-03,3,69
2023-03,4,65
2023-03,5,73
2023-03,6,60
2023-03,7,62
2023-03,8,71
2023-03,9,70
2023-04,0,46
2023-04,1,56
2023-04,2,55
2023-04,3,61
2023-04,4,61
2023-04,5,54
2023-04,6,58
2023-04,7,54
2023-04,8,52
2023-05,0,51
2023-05,1,73
2023-05,2,74
2023-05,3,79
2023-05,4,74
2023-05,5,77
2023-05,6,74
2023-05,7,78
2023-06,0,49
2023-06,1,77
2023-06,2,72
2023-06,3,73
2023-06,4,68
2023-06,5,75
2023-06,6,75
2023-07,0,61
2023-07,1,69
2023-07,2,70
2023-07,3,71
2023-07,4,67
2023-07,5,67
2023-08,0,61
2023-08,1,84
2023-08,2,90
2023-08,3,90
2023-08,4,87
2023-09,0,64
2023-09,1,80
2023-09,2,81
2023-09,3,83
2023-10,0,66
2023-10,1,75
2023-10,2,77
2023-11,0,72
2023-11,1,69
2023-12,0,76
