date,daily_revenue,cumulative_revenue
2023-01-04,6.99,6.99
2023-01-06,0,6.99
2023-01-08,0,6.99
2023-01-11,106.55,113.53999999999999
2023-01-13,38.3,151.84
2023-01-14,51.25,203.09
2023-01-15,0,203.09
2023-01-16,31.52,234.60999999999999
2023-01-17,40.61,275.21999999999997
2023-01-18,0,275.21999999999997
2023-01-19,73.74000000000001,348.96
2023-01-20,17.06,366.02
2023-01-21,43.97,409.99
2023-01-22,37.550000000000004,447.54
2023-01-23,0,447.54
2023-01-24,107.34,554.88
2023-01-25,13.78,568.66
2023-01-26,60.57,629.23
2023-01-27,154.57,783.8
2023-01-28,110.99000000000001,894.79
2023-01-29,21.57,916.36
2023-01-30,86.72,1003.08
2023-01-31,106.4,1109.48
2023-02-01,30.340000000000003,1139.82
2023-02-02,49.29,1189.1100000000001
2023-02-03,105.2,1294.31
2023-02-04,133.06,1427.3700000000001
2023-02-05,116.22,1543.59
2023-02-06,131.53,1675.1200000000001
2023-02-07,101.08,1776.2
2023-02-08,71.74,1847.94
2023-02-09,72.41,1920.35
2023-02-10,41.910000000000004,1962.26
2023-02-11,23.27,1985.53
2023-02-12,142.21,2127.7400000000002
2023-02-13,90.44,2218.18
2023-02-14,161.83,2380.01
2023-02-15,135.82999999999998,2515.84
2023-02-16,254.35999999999999,2770.2
2023-02-17,193.69,2963.89
2023-02-18,52.86,3016.75
2023-02-19,79.11,3095.86
2023-02-20,67.6,3163.46
2023-02-21,37.42,3200.88
2023-02-22,25.45,3226.33
2023-02-23,125.76,3352.09
2023-02-24,159.77,3511.86
2023-02-25,113.06,3624.92
2023-02-26,134.65,3759.57
2023-02-27,219.05,3978.62
2023-02-28,176.8,4155.42
2023-03-01,77.41,4232.83
2023-03-02,138.84,4371.67
2023-03-03,166.94,4538.61
2023-03-04,152.13,4690.74
2023-03-05,244.61,4935.35
2023-03-06,126.13,5061.4800000000005
2023-03-07,126.08,5187.56
2023-03-08,235.32,5422.88
2023-03-09,69.6,5492.4800000000005
2023-03-10,246.68,5739.16
2023-03-11,139.7,5878.86
2023-03-12,108.03,5986.89
2023-03-13,232.38,6219.27
2023-03-14,167.85,6387.12
2023-03-15,127.64,6514.76
2023-03-16,293.49,6808.25
2023-03-17,187.7,6995.95
2023-03-18,214.75,7210.7
2023-03-19,345.05,7555.75
2023-03-20,220.96,7776.71
2023-03-21,176.04,7952.75
2023-03-22,159.88,8112.63
2023-03-23,87.63,8200.26
2023-03-24,187.29,8387.55
2023-03-25,74.06,8461.61
2023-03-26,232.01,8693.62
2023-03-27,147.82,8841.44
2023-03-28,236.34,9077.78
2023-03-29,299.2,9376.98
2023-03-30,433.92,9810.9
2023-03-31,384.56,10195.46
2023-04-01,157.24,10352.7
2023-04-02,127.21,10479.91
2023-04-03,160.63,10640.54
2023-04-04,329.9,10970.44
2023-04-05,148.42000000000002,11118.86
2023-04-06,205.01,11323.87
2023-04-07,75.03999999999999,11398.91
2023-04-08,190.02,11588.93
2023-04-09,244.96,11833.89
2023-04-10,298.44,12132.33
2023-04-11,152.01,12284.34
2023-04-12,330.42,12614.76
2023-04-13,239.23,12853.99
2023-04-14,188.71,13042.7
2023-04-15,224.84,13267.54
2023-04-16,223.4,13490.94
2023-04-17,210.86,13701.8
2023-04-18,284.64,13986.44
2023-04-19,319.72,14306.16
2023-04-20,373.33,14679.49
2023-04-21,356.71,15036.2
2023-04-22,265.1,15301.3
2023-04-23,243.92,15545.22
